refdes,quantity,function,manufacturer_part,manufacturer,package,lcsc_id,jlc_device_uuid,jlc_library_uuid,assembly_status,evidence_status,source_url,verification_gate,notes
U1,1,MCU and Dynamixel slave,STM32G030C8T6,ST,LQFP-48,C529329,f75337b6c21843b4a0cd684dc6f1d936,0819f05c4eef4c71ace90d822a990e87,populate,design_choice,https://www.st.com/resource/en/datasheet/stm32g030c6.pdf,Pin and footprint audit plus automatic-baud and measured 1 Mbps timing test,Use HSI16 plus USART ABRMOD 00 on bench v0.2; PF0 and PF1 are NC
U2,1,6-axis IMU with SFLP,LSM6DSV16XTR,ST,LGA-14,C5267406,df91102e0558458ea6697768cf7c49bb,0819f05c4eef4c71ace90d822a990e87,populate,confirmed_runtime,https://www.st.com/en/mems-and-sensors/lsm6dsv16x.html,Axis scale quaternion and reference-motion test,Exact runtime sensor
U3,1,Dynamixel TTL half-duplex buffer,SN74LVC2G241DCTR,Texas Instruments,SM8-8,C2676069,fd706ee9f5e94b91833cadb369e166b1,0819f05c4eef4c71ace90d822a990e87,populate,design_choice,https://www.ti.com/lit/ds/symlink/sn74lvc2g241.pdf,One-servo 1 Mbps direction and signal-integrity test,Matches ROBOTIS complementary-enable topology
U4,1,3.3 V board regulator,LP2985-33DBVR,Texas Instruments,SOT-23-5,C95414,fbb1d5eb191a4646aa282b0c9bd9afc6,0819f05c4eef4c71ace90d822a990e87,populate,design_choice,https://www.ti.com/lit/ds/symlink/lp2985.pdf,3.7 to 6.0 V line load dropout and thermal test,ON/OFF tied to DXL_VDD
J1,1,Dynamixel bus input connector,B3B-EH-A(LF)(SN),JST,TH 3-pin 2.5 mm,C160259,c8e6f5be2cdb4d1fb379fcd625589b0c,0819f05c4eef4c71ace90d822a990e87,hand_solder_after_smt,confirmed_runtime,https://emanual.robotis.com/docs/en/dxl/x/xl330-m288/#connector-information,Keying pin order and cable continuity audit,Pin 1 GND pin 2 VDD pin 3 DATA
J3,1,SWD programming header,PZ127-2-05-S,HCTL,SMT 2x5 1.27 mm,C3975188,72524cb4eb6742dc93f30d3f1de759b8,0819f05c4eef4c71ace90d822a990e87,populate,design_choice,https://www.lcsc.com/product-detail/C3975188.html,Mechanical programmer clearance and SWD continuity,Pin 1 3V3 pin 2 SWDIO pins 3 5 9 GND pin 4 SWCLK pin 10 NRST
R1 R2 R3 R6,4,Bus direction and reset pull resistors,0603WAF1002T5E 10 kOhm 1%,UNI-ROYAL,0603,C25804,b948db94476e4027ac8953235755ec96,0819f05c4eef4c71ace90d822a990e87,populate,design_choice,https://www.lcsc.com/product-detail/C25804.html,Confirm U3 truth table and reset defaults,R1 MCU_RX pull-up R2 DATA pull-up R3 TX_ENABLE pull-down R6 NRST pull-up
R4 R5,2,Bus edge-tuning footprints,0603WAF0000T5E 0 Ohm,UNI-ROYAL,0603,C21189,fc38f436091b49a696be03a7955956ed,0819f05c4eef4c71ace90d822a990e87,populate_0R_then_tune,design_choice,https://www.lcsc.com/product-detail/C21189.html,Populate from one-servo ringing captures,33 Ohm alternative is C23140 after scope review
C3,1,LDO input capacitor,CL10A105KB8NNNC 1 uF,Samsung,0603,C15849,f4744ff7405a46a48e360c2c6fadeca3,0819f05c4eef4c71ace90d822a990e87,populate,design_choice,https://www.lcsc.com/product-detail/C15849.html,Effective capacitance and placement review,
C4 C11,2,LDO output and MCU bulk capacitors,CL10A475KO8NNNC 4.7 uF,Samsung,0603,C19666,9d6a8d9b94504b8e8615128aa8b87628,0819f05c4eef4c71ace90d822a990e87,populate,design_choice,https://www.lcsc.com/product-detail/C19666.html,Effective capacitance and stability review,
C5,1,DXL_VDD local bulk,CL10A106KP8NNNC 10 uF,Samsung,0603,C19702,80646d555bcf4558bdde69f7f0e5dc8d,0819f05c4eef4c71ace90d822a990e87,populate_then_measure,design_choice,https://www.lcsc.com/product-detail/C19702.html,Hot-plug overshoot and inrush capture,
C6 C7 C8 C9 C10 C12,6,Local decoupling and reset filter,CC0603KRX7R9BB104 100 nF,Yageo,0603,C14663,96b39256cc3f4d80bd3b503deb4f3328,0819f05c4eef4c71ace90d822a990e87,populate,design_choice,https://www.lcsc.com/product-detail/C14663.html,Placement and reset waveform review,At U1 supply and VREF U2 VDD and VDDIO U3 VCC and NRST
TP1 TP2 TP3 TP4 TP5 TP6,6,Test points,3V3 GND DXL_DATA MCU_TX MCU_RX TX_ENABLE,PCB land,1.0 mm test pad,,,,fabricate,design_choice,,Probe accessibility review,Keep loops short and add ground probe nearby
