item_id,variant,subsystem,item_name,specification,source_asset,local_asset_path,base_qty,roller_qty,unit,procurement_class,status,confidence,verification_gate,source_url,notes
M001,roller,feet,Roller left ankle,Simulation-derived rigid print,ankle_l_v1.stl,src/mjlab_microduck/robot/microduck/assets/ankle_l_v1.stl,0,1,piece,print_rigid,confirmed_model,medium,Fit-check against servo and roller chassis,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Roller model only
M002,walking,feet,Walking left ankle,Simulation-derived rigid print,ankle_left.stl,src/mjlab_microduck/robot/microduck/assets/ankle_left.stl,1,0,piece,print_rigid,confirmed_model,medium,Fit-check bearing and servo interfaces,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Walking model only
M003,roller,feet,Roller right ankle,Simulation-derived rigid print,ankle_r_v1.stl,src/mjlab_microduck/robot/microduck/assets/ankle_r_v1.stl,0,1,piece,print_rigid,confirmed_model,medium,Fit-check against servo and roller chassis,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Roller model only
M004,walking,feet,Walking right ankle,Simulation-derived rigid print,ankle_right.stl,src/mjlab_microduck/robot/microduck/assets/ankle_right.stl,1,0,piece,print_rigid,confirmed_model,medium,Fit-check bearing and servo interfaces,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Walking model only
M005,both,electronics_mounts,PCB retainer,Simulation-derived rigid print,banana_pcb_locker.stl,src/mjlab_microduck/robot/microduck/assets/banana_pcb_locker.stl,1,1,piece,print_rigid,confirmed_model,medium,Fit-check against selected HAT PCB,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,May require redesign for replacement HAT
M006,both,hips,Hip bearing support,Simulation-derived rigid print,bearing_roll.stl,src/mjlab_microduck/robot/microduck/assets/bearing_roll.stl,2,2,piece,print_rigid,confirmed_model,medium,Fit-check bearing press and M2 holes,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,One per side
M007,both,head,Lower head shell,Simulation-derived rigid print,bottom_head_shell.stl,src/mjlab_microduck/robot/microduck/assets/bottom_head_shell.stl,1,1,piece,print_rigid,confirmed_model,medium,Check shell closure and cable clearance,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,
M009,both,head,Face structure,Simulation-derived rigid print,face_part.stl,src/mjlab_microduck/robot/microduck/assets/face_part.stl,1,1,piece,print_rigid,confirmed_model,medium,Fit-check sensors and mouth travel,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,
M010,walking,feet,Walking left foot,Simulation-derived rigid print,foot_left.stl,src/mjlab_microduck/robot/microduck/assets/foot_left.stl,1,0,piece,print_rigid,confirmed_model,medium,Fit-check sole and ankle,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Walking model only
M011,walking,feet,Walking right foot,Simulation-derived rigid print,foot_right.stl,src/mjlab_microduck/robot/microduck/assets/foot_right.stl,1,0,piece,print_rigid,confirmed_model,medium,Fit-check sole and ankle,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Walking model only
M012,both,hips,Hip structure,Simulation-derived rigid print,hip_l.stl,src/mjlab_microduck/robot/microduck/assets/hip_l.stl,2,2,piece,print_rigid,confirmed_model,medium,Verify mirrored assembly and bearing support,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Same mesh used on both sides
M013,both,head,Jaw structure,Simulation-derived rigid print,jaw.stl,src/mjlab_microduck/robot/microduck/assets/jaw.stl,1,1,piece,print_rigid,confirmed_model,medium,Verify mouth linkage and ID34 servo interface,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Mouth actuation is not represented as a controlled MJCF joint
M014,both,head,Soft lower mouth,Flexible print candidate,jaw_soft.stl,src/mjlab_microduck/robot/microduck/assets/jaw_soft.stl,1,1,piece,print_flexible,confirmed_model,low,Print TPU coupon and verify grip and travel,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Material is inferred
M015,both,body,Left body shell,Simulation-derived rigid print,left_shell.stl,src/mjlab_microduck/robot/microduck/assets/left_shell.stl,1,1,piece,print_rigid,confirmed_model,medium,Check shell closure after harness installation,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,
