task_id,phase,task,depends_on,status,priority,deliverable,exit_criteria,evidence_required,notes
P0-01,0_scope,Freeze safe-replica-v0 target,,pending,P0,Decision record,Target specifies walking or roller first build and safe regulated servo rail,Reviewed decision,Exact official electrical clone is out of scope without schematics
P0-02,0_scope,Inventory hardware already owned,P0-01,pending,P0,Inventory delta,Every owned component has model revision quantity and condition,Photos and part labels,
P0-03,0_scope,Create electrical and mechanical risk register,P0-01,pending,P0,Risk register,Each high risk has mitigation owner and verification gate,Reviewed risk table,Include battery servo overvoltage and moving-joint hazards
E0-01,1_evidence,Inventory all 47 simulation assets,,complete,P0,asset_manifest.csv,Every checked-in STL is classified,Automated manifest test,Completed by commit 49faa81
E0-02,1_evidence,Recover current mechanical kinematic tree,E0-01,complete,P0,Mechanical chain map,All 14 policy joints plus mouth actuator are mapped,MJCF and runtime source references,
E0-03,1_evidence,Recover current bus IDs and protocol,,complete,P0,Bus contract,IDs 10-14 20-24 30-34 and 200 plus 1 Mbps are recorded,Official runtime source references,
E0-04,1_evidence,Obtain physical reference measurements,P0-02,blocked,P0,Measurement sheet,Critical interfaces are measured from a real unit or official engineering files,Photos caliper readings and revision identity,Needs physical robot or official CAD access
M1-01,2_mechanical,Import assembly into editable CAD,E0-01,pending,P0,Editable CAD assembly,All current parts appear in correct transforms,CAD screenshots and source-to-part map,
M1-02,2_mechanical,Repair simulation meshes for manufacturing,M1-01,pending,P0,Watertight manufacturing candidates,Every printed part passes mesh and wall-thickness checks,Mesh QA report,Do not overwrite original simulation meshes
M1-03,2_mechanical,Dimension all critical interfaces,M1-01,pending,P0,Interface control drawing,Bearing seats servo mounts shafts shells and PCB mounts are dimensioned,Dimension audit,E0-04 may replace inference with measurements
M1-04,2_mechanical,Design M2 and bearing fit coupons,M1-03,pending,P0,Coupon STL set,Coupons cover printer material and orientation combinations,Drawing and slicer records,
M1-05,2_mechanical,Print and measure fit coupons,M1-04,pending,P0,Fit calibration table,Chosen hole insert and bearing offsets pass repeated assembly,Caliper data photos and pull tests,
M1-06,2_mechanical,Finalize fastener stack by location,M1-05,pending,P0,Installed fastener schedule,Every joint and shell screw has exact type length and retention,Annotated assembly and dry-fit evidence,Replaces inferred stock quantities
M1-07,2_mechanical,Design servo zeroing jigs,M1-03,pending,P0,Zeroing jig STLs,Every actuator can be installed at documented spline orientation,Jig repeatability test,Missing official horn-zero documentation
M1-08,2_mechanical,Design cable routes and strain relief,M1-03,pending,P0,Harness route drawing,Full joint travel causes no pinch rub or connector load,Motion video and clearance review,
M1-09,2_mechanical,Validate walking foot assembly,M1-05|M1-06,pending,P1,Walking foot prototype,Both feet assemble and meet flatness and friction targets,Photos dimensions and load test,
M1-10,2_mechanical,Validate roller foot assembly,M1-05|M1-06,pending,P2,Roller prototype,Four wheels spin freely with bounded side play,Spin-down and load test,Optional until walking build passes
M1-11,2_mechanical,Run full digital clearance review,M1-07|M1-08|M1-09,pending,P0,Clearance report,No collisions through commanded joint ranges,CAD interference report,
P1-01,3_power,Measure one XL330 current and transient behavior,P0-01,pending,P0,Single-servo power trace,Rated-voltage current heat and transient data are recorded,Scope logs current logs and temperature,
P1-02,3_power,Measure five-servo leg load,P1-01,pending,P0,Leg power trace,Representative synchronized loads are recorded without brownout,Scope logs and temperature,
P1-03,3_power,Select safe servo regulator,P1-02,pending,P0,Regulator decision,Output stays at or below 6 V and survives measured transients,Load-step thermal and fault tests,Existing policy must be retrained for selected voltage
P1-04,3_power,Select 5 V logic regulator,P0-02,pending,P0,Logic power decision,Radxa camera audio and sensors pass load-step test,Scope logs and thermal test,
P1-05,3_power,Design fuse reverse-polarity and inrush protection,P1-03|P1-04,pending,P0,Protected input schematic,Faults do not damage battery loads or operator,Fault-injection evidence,
P1-06,3_power,Review power architecture,P1-05,pending,P0,Signed review checklist,Independent review closes all P0 electrical risks,Reviewer comments and resolved actions,
P1-07,3_power,Bench-test complete power tree,P1-06,pending,P0,Power prototype,Logic and servo rails remain stable under combined dummy loads,Scope logs thermals and shutdown test,
B1-01,4_bus,Choose half-duplex TTL circuit,P1-04,pending,P0,Bus-interface schematic,Circuit works without an unimplemented direction GPIO,ROBOTIS reference comparison and review,
B1-02,4_bus,Prototype one-servo bus,B1-01,pending,P0,Bus breadboard,One XL330 communicates reliably at 1 Mbps,Packet error count and scope capture,
