编号,器件,中心X/Y/Z mm,包络X/Y/Z mm,尺寸状态,备注
H01,一体头壳 / 无嘴,"[0, 0, 327]","[110, 86, 92]",暂定,2 mm壳厚；仅外包络，内部需掏空
H02,2.8英寸屏幕整板,"[0, -32, 315]","[79.9, 15, 50.8]",混合,平面外形来自厂家；15 mm厚度含连接空间暂定
H03,IMX219摄像头,"[0, -30, 355]","[25, 12, 24]",混合,25×24板外形；厚度/光轴位置待确认
H04,VL53L5CX载板,"[32, -30, 355]","[12.7, 10, 17.78]",混合,板外形来自Pololu3417；10为含线包络
H05,头内模组托架,"[0, 0, 331]","[94, 4, 74]",暂定,孔位待厂家图；不能压屏幕玻璃
Y01,头转台承重轴承,"[0, 0, 279]","[42, 42, 10]",暂定,环形件占位；内孔留线束；型号未定
Y02,转台轮毂 / 限位,"[0, 0, 267]","[38, 38, 10]",暂定,带机械限位；±35°仅设计目标
Y03,转向执行器,"[0, 0, 244]","[40, 32, 30]",未选型,只驱动左右转动；承重由Y01承担；扭矩待惯量计算
Y04,竖直承力颈座,"[0, 0, 248]","[56, 56, 55]",暂定,空心件；后侧独立走线；无俯仰轴
B01,躯干后盖,"[0, 48, 193]","[164, 4, 72]",暂定,散热孔与接口开口待定
B02,ZERO 3W主控,"[0, 20, 214]","[65, 30, 14]",混合,65×30已确认；14为器件高度预算
B03,主控散热器预留,"[0, 20, 228]","[55, 25, 10]",暂定,与主板接触；禁止被排线覆盖
B04,电源及实时控制板,"[0, -22, 214]","[75, 40, 14]",未设计,MCU/四编码器接口/IMU/降压/保险/电源开关接口，非现成PCB
B05,3S电池组含BMS,"[0, 0, 177]","[75, 58, 24]",未选型,容量、放电率、保护板及绝缘都须在此包络内；不能按裸电芯算
B06,电池托盘,"[0, 0, 162]","[82, 65, 4]",暂定,绑带固定；下拆维护；与PCB分层
B07,充电口/总开关,"[66, 0, 183]","[20, 30, 24]",未选型,外置3S CC/CV充电器；禁止仅用BMS当充电器
B08,躯干外壳,"[0, 0, 196]","[164, 100, 78]",暂定,空心件占位；不代表与原身体直接兼容
L01,左承力腿,"[-69, 0, 122]","[28, 38, 65]",暂定,封闭线槽+检修盖；行驶姿态刚性固定
L02,右承力腿,"[69, 0, 122]","[28, 38, 65]",暂定,可动腿关节未设计；本版不能演示下蹲
L03,横向承力连接,"[0, 12, 131]","[110, 14, 16]",暂定,维持四轮轮距，连接双腿
L01,L脚部检修盖,"[-69, 0, 88]","[84, 150, 4]",暂定,驱动板上方留拆线空间
L02,L双路轮驱动板,"[-69, 0, 69]","[64, 54, 16]",未设计,两路H桥/电流检测/限流/散热；每脚一块
L03,L电机承力托架,"[-69, 0, 46]","[84, 150, 67]",暂定,带轴承座空心结构；内部不可实心
LFM,LF轮电机 #4846,"[-69, -48, 30]","[69, 25, 25]",已知外包络,Ø25×69本体；输出轴另占12.5；尾线另留10
LFC,LF输出轴/联轴器,"[-110, -48, 30]","[13, 16, 16]",暂定,4mm电机D轴适配独立轮轴；联轴器未选
LFA,LF承重轴承座,"[-119, -48, 30]","[5, 24, 24]",暂定,仅占位；需成对轴承或足够跨距，载荷核算未完成
LFW,LF麦克纳姆轮,"[-132, -48, 30]","[30, 60, 60]",未选型,目标Ø60×30；左右旋各2；不能据此采购
LBM,LB轮电机 #4846,"[-69, 48, 30]","[69, 25, 25]",已知外包络,Ø25×69本体；输出轴另占12.5；尾线另留10
LBC,LB输出轴/联轴器,"[-110, 48, 30]","[13, 16, 16]",暂定,4mm电机D轴适配独立轮轴；联轴器未选
LBA,LB承重轴承座,"[-119, 48, 30]","[5, 24, 24]",暂定,仅占位；需成对轴承或足够跨距，载荷核算未完成
LBW,LB麦克纳姆轮,"[-132, 48, 30]","[30, 60, 60]",未选型,目标Ø60×30；左右旋各2；不能据此采购
R01,R脚部检修盖,"[69, 0, 88]","[84, 150, 4]",暂定,驱动板上方留拆线空间
R02,R双路轮驱动板,"[69, 0, 69]","[64, 54, 16]",未设计,两路H桥/电流检测/限流/散热；每脚一块
R03,R电机承力托架,"[69, 0, 46]","[84, 150, 67]",暂定,带轴承座空心结构；内部不可实心
RFM,RF轮电机 #4846,"[69, -48, 30]","[69, 25, 25]",已知外包络,Ø25×69本体；输出轴另占12.5；尾线另留10
RFC,RF输出轴/联轴器,"[110, -48, 30]","[13, 16, 16]",暂定,4mm电机D轴适配独立轮轴；联轴器未选
RFA,RF承重轴承座,"[119, -48, 30]","[5, 24, 24]",暂定,仅占位；需成对轴承或足够跨距，载荷核算未完成
RFW,RF麦克纳姆轮,"[132, -48, 30]","[30, 60, 60]",未选型,目标Ø60×30；左右旋各2；不能据此采购
RBM,RB轮电机 #4846,"[69, 48, 30]","[69, 25, 25]",已知外包络,Ø25×69本体；输出轴另占12.5；尾线另留10
RBC,RB输出轴/联轴器,"[110, 48, 30]","[13, 16, 16]",暂定,4mm电机D轴适配独立轮轴；联轴器未选
RBA,RB承重轴承座,"[119, 48, 30]","[5, 24, 24]",暂定,仅占位；需成对轴承或足够跨距，载荷核算未完成
RBW,RB麦克纳姆轮,"[132, 48, 30]","[30, 60, 60]",未选型,目标Ø60×30；左右旋各2；不能据此采购
