item_id,variant,subsystem,item_name,specification,base_qty,roller_qty,purchase_qty,unit,procurement_class,status,confidence,buy_status,preferred_url,alternate_url,link_type,link_checked_on,next_action,verification_gate,source_url,purchase_notes,notes
M031,both,mechanical,Large bearing,16 mm ID x 22 mm OD x 4 mm,11,11,13,piece,purchase,confirmed_model,medium,verify_before_buy,https://www.aliexpress.com/wholesale?SearchText=16x22x4+bearing,,marketplace_search,2026-08-31,Complete the verification gate then order only the matching revision,Measure actual seat and verify bearing type before bulk order,https://github.com/fanhao375/microduck-replica/blob/master/docs/%E7%B4%A7%E5%9B%BA%E4%BB%B6%E5%8F%8D%E6%8E%A8.md,Confirm bearing construction seal and measured seat before ordering,Purchase quantity includes two spares
M032,both,mechanical,Small bearing,approximately 10 mm ID x 15 mm OD x 3 mm,3,3,5,piece,purchase,confirmed_model,medium,verify_before_buy,https://www.aliexpress.com/wholesale?SearchText=10x15x3+bearing,,marketplace_search,2026-08-31,Complete the verification gate then order only the matching revision,Measure actual seat and verify bearing type before bulk order,https://github.com/fanhao375/microduck-replica/blob/master/docs/%E7%B4%A7%E5%9B%BA%E4%BB%B6%E5%8F%8D%E6%8E%A8.md,Inner diameter is approximate and must be measured first,Purchase quantity includes two spares
M036,both,audio,Speaker,Envelope approximately 35 x 25 x 7 mm,1,1,2,piece,purchase,needs_confirmation,low,do_not_buy,,,none,2026-08-31,Do not order; replace with a designed or confirmed alternative,Measure impedance power and mounting before purchase,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Envelope exists but impedance power connector and acoustic requirements are unknown,Purchase quantity includes one spare but electrical model is unknown
M045,both,actuators,Dynamixel XL330-M288-T,TTL 3-pin servo,15,15,18,piece,purchase,confirmed_runtime,high,ready_to_buy,https://en.robotis.com/shop_en/item.php?it_id=902-0163-000,https://www.robotis.us/dynamixel-xl330-m288-t/,manufacturer_shop,2026-08-31,Confirm regional stock and delivery then order the exact item,Configure and bench-test each servo at rated voltage,https://en.robotis.com/shop_en/item.php?it_id=902-0163-000,Exact model; check regional stock and remember retail input is 3.7 to 6.0 V,Fifteen installed plus three spares; each retail package lists one 180 mm X3P cable plus six M2x6 and ten M2x8 bolts
F001,both,fasteners,M2 x 4 socket-head screws,M2 metric socket-head,0,0,60,piece,consumable,inferred,low,verify_before_buy,https://www.aliexpress.com/wholesale?SearchText=M2x4+socket+head+screw,,marketplace_search,2026-08-31,Complete the verification gate then order only the matching revision,Confirm each stack with printed coupons and calipers,https://github.com/fanhao375/microduck-replica/blob/master/docs/%E7%B4%A7%E5%9B%BA%E4%BB%B6%E5%8F%8D%E6%8E%A8.md,Buy only after installed fastener schedule is dry-fit,Stock quantity includes loss and is not installed count
F002,both,fasteners,M2 x 6 socket-head screws,M2 metric socket-head,0,0,80,piece,consumable,inferred,low,inventory_included_first,https://en.robotis.com/shop_en/item.php?it_id=902-0163-000,https://www.aliexpress.com/wholesale?SearchText=M2x6+socket+head+screw,manufacturer_package,2026-08-31,Count bundled and owned stock then purchase only the shortage,Confirm each stack with printed coupons and calipers,https://github.com/fanhao375/microduck-replica/blob/master/docs/%E7%B4%A7%E5%9B%BA%E4%BB%B6%E5%8F%8D%E6%8E%A8.md,Each XL330 package lists six M2x6 horn bolts; count included stock first,Stock quantity includes loss and is not installed count
F003,both,fasteners,M2 x 8 socket-head screws,M2 metric socket-head,0,0,40,piece,consumable,inferred,low,inventory_included_first,https://en.robotis.com/shop_en/item.php?it_id=902-0163-000,https://www.aliexpress.com/wholesale?SearchText=M2x8+socket+head+screw,manufacturer_package,2026-08-31,Count bundled and owned stock then purchase only the shortage,Confirm each stack with printed coupons and calipers,https://github.com/fanhao375/microduck-replica/blob/master/docs/%E7%B4%A7%E5%9B%BA%E4%BB%B6%E5%8F%8D%E6%8E%A8.md,Each XL330 package lists ten M2x8 frame bolts; count included stock first,Stock quantity includes loss and is not installed count
F004,both,fasteners,M2 x 12 socket-head screws,M2 metric socket-head,0,0,15,piece,consumable,inferred,low,verify_before_buy,https://www.aliexpress.com/wholesale?SearchText=M2x12+socket+head+screw,,marketplace_search,2026-08-31,Complete the verification gate then order only the matching revision,Confirm each stack with printed coupons and calipers,https://github.com/fanhao375/microduck-replica/blob/master/docs/%E7%B4%A7%E5%9B%BA%E4%BB%B6%E5%8F%8D%E6%8E%A8.md,Length is inferred from mesh depth and needs dry-fit confirmation,Stock quantity includes loss and is not installed count
F005,both,fasteners,M2 nuts,Metric nuts,0,0,50,piece,consumable,inferred,low,verify_before_buy,https://www.aliexpress.com/wholesale?SearchText=M2+hex+nut,,marketplace_search,2026-08-31,Complete the verification gate then order only the matching revision,Confirm where through-bolting is physically possible,https://github.com/fanhao375/microduck-replica/blob/master/docs/%E7%B4%A7%E5%9B%BA%E4%BB%B6%E5%8F%8D%E6%8E%A8.md,Confirm where through-bolting is accessible,Do not assume every hole accepts a nut
F006,both,fasteners,M2 heat-set inserts,For selected print material,0,0,60,piece,consumable,design_choice,medium,verify_before_buy,https://www.aliexpress.com/wholesale?SearchText=M2+heat+set+insert,,marketplace_search,2026-08-31,Complete the verification gate then order only the matching revision,Pull-out and repeated-assembly coupon test,,Select insert OD and length only after coupon testing,Preferred over directly tapping simulation-derived prints
