item_id,variant,subsystem,item_name,specification,source_asset,base_qty,roller_qty,purchase_qty,unit,procurement_class,status,confidence,verification_gate,source_url,notes,buy_status,preferred_url,alternate_url,link_type,link_checked_on,next_action,purchase_notes
M001,roller,feet,Roller left ankle,Simulation-derived rigid print,ankle_l_v1.stl,0,1,,piece,print_rigid,confirmed_model,medium,Fit-check against servo and roller chassis,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Roller model only,,,,,,,
M002,walking,feet,Walking left ankle,Simulation-derived rigid print,ankle_left.stl,1,0,,piece,print_rigid,confirmed_model,medium,Fit-check bearing and servo interfaces,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Walking model only,,,,,,,
M003,roller,feet,Roller right ankle,Simulation-derived rigid print,ankle_r_v1.stl,0,1,,piece,print_rigid,confirmed_model,medium,Fit-check against servo and roller chassis,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Roller model only,,,,,,,
M004,walking,feet,Walking right ankle,Simulation-derived rigid print,ankle_right.stl,1,0,,piece,print_rigid,confirmed_model,medium,Fit-check bearing and servo interfaces,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Walking model only,,,,,,,
M005,both,electronics_mounts,PCB retainer,Simulation-derived rigid print,banana_pcb_locker.stl,1,1,,piece,print_rigid,confirmed_model,medium,Fit-check against selected HAT PCB,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,May require redesign for replacement HAT,,,,,,,
M006,both,hips,Hip bearing support,Simulation-derived rigid print,bearing_roll.stl,2,2,,piece,print_rigid,confirmed_model,medium,Fit-check bearing press and M2 holes,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,One per side,,,,,,,
M007,both,head,Lower head shell,Simulation-derived rigid print,bottom_head_shell.stl,1,1,,piece,print_rigid,confirmed_model,medium,Check shell closure and cable clearance,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,,,,,,,,
M008,both,electronics,Robot HAT PCB envelope,Reference geometry only,elec_rpi_robot_hat_pcb.stl,0,0,,piece,reference_only,reference_only,medium,Compare replacement HAT outline and hole locations,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Do not print as a PCB,,,,,,,
M009,both,head,Face structure,Simulation-derived rigid print,face_part.stl,1,1,,piece,print_rigid,confirmed_model,medium,Fit-check sensors and mouth travel,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,,,,,,,,
M010,walking,feet,Walking left foot,Simulation-derived rigid print,foot_left.stl,1,0,,piece,print_rigid,confirmed_model,medium,Fit-check sole and ankle,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Walking model only,,,,,,,
M011,walking,feet,Walking right foot,Simulation-derived rigid print,foot_right.stl,1,0,,piece,print_rigid,confirmed_model,medium,Fit-check sole and ankle,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Walking model only,,,,,,,
M012,both,hips,Hip structure,Simulation-derived rigid print,hip_l.stl,2,2,,piece,print_rigid,confirmed_model,medium,Verify mirrored assembly and bearing support,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Same mesh used on both sides,,,,,,,
M013,both,head,Jaw structure,Simulation-derived rigid print,jaw.stl,1,1,,piece,print_rigid,confirmed_model,medium,Verify mouth linkage and ID34 servo interface,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Mouth actuation is not represented as a controlled MJCF joint,,,,,,,
M014,both,head,Soft lower mouth,Flexible print candidate,jaw_soft.stl,1,1,,piece,print_flexible,confirmed_model,low,Print TPU coupon and verify grip and travel,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Material is inferred,,,,,,,
M015,both,body,Left body shell,Simulation-derived rigid print,left_shell.stl,1,1,,piece,print_rigid,confirmed_model,medium,Check shell closure after harness installation,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,,,,,,,,
M016,both,legacy,Older left upper leg export,Unreferenced legacy mesh,left_upper_leg.stl,0,0,,piece,legacy,legacy,high,Confirm it stays unused,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Do not print for current assemblies,,,,,,,
M017,both,legs,Lower leg,Simulation-derived rigid print,leg.stl,2,2,,piece,print_rigid,confirmed_model,medium,Verify knee and ankle interfaces,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Same mesh used on both sides,,,,,,,
M018,both,electronics,Camera lens envelope,Reference geometry only,lens.stl,0,0,,piece,reference_only,reference_only,low,Confirm actual camera and lens before purchase,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,May represent prototype M12 optics,,,,,,,
M019,both,electronics_mounts,M12 lens holder,Simulation-derived rigid print,m12_lens_holder.stl,1,1,,piece,print_rigid,confirmed_model,low,Confirm selected camera and focal length,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,May need redesign for IMX219 module,,,,,,,
M020,both,head,Jaw motor support,Simulation-derived rigid print,motor_support.stl,1,1,,piece,print_rigid,confirmed_model,medium,Verify ID34 servo and linkage alignment,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,,,,,,,,
M021,both,neck,Neck side structure,Simulation-derived rigid print,neck.stl,2,2,,piece,print_rigid,confirmed_model,medium,Verify paired parts and bearing alignment,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Two instances,,,,,,,
M022,both,neck,Neck pitch structure,Simulation-derived rigid print,neck_pitch.stl,1,1,,piece,print_rigid,confirmed_model,medium,Verify head-pitch axis,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,,,,,,,,
M023,both,head,Eye-area cosmetic insert,Simulation-derived rigid print,noenoeil.stl,1,1,,piece,print_rigid,confirmed_model,low,Confirm cosmetic requirement and sensor clearance,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,,,,,,,,
M024,both,power,NP-F battery envelope,NP-F970 reference envelope,np_f970.stl,0,0,,piece,reference_only,reference_only,medium,Select NP-F550 or NP-F970 after mass and clearance test,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Runtime names NP-F550 while the mesh is NP-F970,,,,,,,
M025,both,electronics,Raspberry Pi Zero 2 W envelope,Prototype reference only,pcb__raspberry_pi_zero_2_w.stl,0,0,,piece,reference_only,reference_only,high,Do not purchase for current runtime target,https://github.com/pollen-robotics/microduck/blob/main/docs/design/robotd-design.md,Current alpha runtime uses Radxa Zero 3W,,,,,,,
M026,both,electronics_mounts,Power and battery support,Simulation-derived rigid print,power_support.stl,1,1,,piece,print_rigid,confirmed_model,medium,Fit-check selected battery and safe power board,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,May require redesign,,,,,,,
